x,y
3.405069475735214,3.2694064313375186
-0.18800061606964302,6.749056519008157
-3.7807054221841936,10.228891179985247
-7.37325619395444,13.709067636743498
-10.965677084422783,17.18955701287441
-14.55798898499311,20.67033021494504
-18.15021309160601,24.151356441685873
-21.74237090802955,27.63260718730295
-25.334485977070315,31.11405298239072
-28.92657719695216,34.595661770478024
-32.518666392849596,38.07740635161822
-36.11147223249243,41.55853836203278
-39.70362634539698,45.040464431948095
-43.295843715236515,48.522436570855575
-46.88814689024806,52.0044253062721
-50.480556734365976,55.48640146866504
-54.07309610782103,58.96833391919817
-57.665785905205425,62.45019455074959
-61.258646995330075,65.93195122995427
-64.85170157578553,69.41357810292223
-68.44497287156835,72.89504237647746
-72.03848007599082,76.37631526166199
-75.6322467508463,79.85736728708565
-79.22629243708093,83.33816895955437
-82.82064169184713,86.81869079971565
-86.4153130469256,90.29890133889865
-90.01033037308042,93.77877243371444
-93.60640710791122,97.25755450982112
-97.20217966296694,100.73665785425173
-100.7983621938499,104.21533265494855
-104.39497658693361,107.69354873929295
-107.99204470251281,111.17127598388464
-111.58958680234998,114.64848657387
-115.18762643312552,118.1251490042905
-118.78618344980879,121.60123414266978
-122.38528079821577,125.0767138252099
-125.98494068366962,128.55155625287307
-129.5851826711463,132.0257329312073
-133.18603063735708,135.49921270316702
-136.78750416484857,138.9719680873763
-140.38962748576986,142.4439672642068
-143.99449443328726,145.91301537903288
-147.60351238831916,149.37763895686948
-151.2146236659727,152.83996907168694
-154.8430591340932,156.28408339681638
-158.47293065040336,159.72656010210702
-162.1028772146314,163.16881393905416
-165.73430183529098,166.60937016153594
-169.3665332905583,170.0489193663023
-172.9989037627285,173.48815653512796
-176.63281477991973,176.92560350477396
-180.24482406884226,180.38583762371923
-183.844631900757,183.85871192756755
-187.4460648507803,187.3297274769288
-191.04776593925797,190.80030174344253
-194.65044681612724,194.26968055849517
-198.25481702778924,197.7371115567269
-201.859523252875,201.20401382721397
-205.46871703572393,204.6660073880651
-209.08792354739364,208.11725468313625
-212.70752169280067,211.56787700524436
-216.32890967451823,215.01639399495076
-219.95073435272542,218.46422780711958
-223.57439213350725,221.90989542783402
-227.1985292981251,225.35482135385394
-230.82454360873558,228.79752190367702
-234.47098569856925,232.2183298886115
-238.1180786055963,235.63565600547986
-241.7570878112631,239.0473541069235
-245.37961239945957,242.46322617402
-248.98239179514704,245.90364818203312
-252.56109532618382,249.38612674130727
-256.02714617133864,252.861612198712
-259.07214477064315,256.2161593168668
-261.26185052554035,259.3895594839178
-262.341106739092,262.2772802711684
-262.642601604767,265.10234458881376
-262.56945536488945,268.49187844250383
-261.6066388192003,272.30632074711303
-259.59847966273895,276.2678738101356
-257.1887431285189,280.712923368391
-254.89858289621006,285.43885508987984
-252.93061610674346,290.1578098635859
-251.04546081100713,294.9010814962169
-249.16434182143647,299.7778559161603
-247.4352025381693,304.78536156135334
-245.91777455196794,309.8682414822785
-244.55916672704163,314.9974808401522
-243.5048969840458,320.19709746947507
-242.72106430702235,325.44077636082216
-242.17734950313124,330.70844326437447
-241.86674224678694,335.9859222473369
-241.7611841072782,341.25966552930055
-241.76605379832642,346.5239123921542
-241.97884482059203,351.7784087110612
-242.40053811468204,357.0180746523127
-243.1656242095115,362.21694978955065
-244.144642021789,367.37740998091095
-245.31437189131464,372.49835033881754
-246.55712132033872,377.60904933422813
-247.99815027892205,382.68167974596787
-249.64422156813748,387.7108089315
-251.52624710557689,392.6749948826796
-253.6278554559496,397.56556004367627
-255.96760586348628,402.35838429869375
-258.6865022659437,406.95274617301317
-261.6154689799545,411.41371102956265
-264.70541423938374,415.76231854026435
-268.00859638258544,419.9526495728921
-271.481893715479,423.98145545499125
-275.10979426784724,427.7940803792172
-278.8097026973627,431.4252604407652
-282.47268103401825,434.98345351917396
-286.1243150640046,438.46168466174777
-289.76351294890947,441.9157190507722
-293.4492444155021,445.31776109922595
-297.1578988478535,448.69504418577327
-300.87177174589425,452.06531792640715
-304.5879825800749,455.4296241401915
-308.305671633769,458.78797004291226
-312.0244072034781,462.14083768661106
-315.7417904984037,465.4909671340572
-319.4580918610344,468.8381189215772
-323.17091469762175,472.18503184952505
-326.8798685128147,475.53220837169584
-330.58456146925346,478.88015114587404
-334.2826015829794,482.23159207986043
-337.9742723392466,485.5862871341047
-341.65717996424206,488.94696131804665
-345.330943370448,492.3141117028408
-348.9951881850368,495.6882400060002
-352.64751760398116,499.07205695380793
-356.28755923519236,502.46605969365
-359.9150567819634,505.8708480293837
-363.5282130332524,509.2894257988287
-367.1311277975669,512.718293756878
-370.7456802451243,516.1347164347197
-374.34531498516463,519.566500799832
-377.9309845951831,523.0124141103172
-381.5008601156512,526.4740971069515
-385.05590445209015,529.9503258880092
