x,y
6.482930132793268,1.326320472899847
7.676859967819838,-3.535364825584108
8.861142666701774,-8.407877303250125
10.033988021812565,-13.283990435439174
11.19447369648179,-18.163675088185038
12.34129302780612,-23.04424333253077
13.476596964753341,-27.92047988367061
14.819504173166541,-32.735753873805756
16.128790432502182,-37.55035795254514
17.334949740874272,-42.38178650487356
18.55372464407448,-47.201170527368234
19.79236828085613,-52.007550761717795
21.05554289082142,-56.80599045055067
22.343998727192623,-61.60393894889177
23.6540145182393,-66.40452273103972
24.97835722439109,-71.2094778375515
26.312661963933625,-76.01974336369653
27.651575035910707,-80.83653209725719
28.990481484155318,-85.66008266090931
30.322149461898842,-90.48843068723615
31.64639471292283,-95.31790623531656
32.96482793043737,-100.1474057024414
34.27635857536622,-104.97729545918425
35.582787829016816,-109.80714944559419
36.88591752306702,-114.63654227581112
38.184653330895074,-119.4658410344381
39.480795563999415,-124.29462032565188
40.77517851836407,-129.1227212010013
42.06960046101763,-133.94971890488978
43.36296757122837,-138.77597932772846
44.657074367444366,-143.60108036324058
45.95373892803272,-148.42466397464966
47.251906020820826,-153.24763832780886
48.55273400199799,-158.07037203886117
49.855970161909056,-162.89307885242286
51.1622677407239,-167.71550072479275
52.46938846534121,-172.53817110231145
53.777985806665455,-177.36083435723415
55.08871318431443,-182.18323031166807
56.39933313769504,-187.00589521845936
57.71049619871298,-191.8285718643947
59.022858759041,-196.65099980040006
60.334180293777095,-201.47371786144365
61.645114123826076,-206.2964668785402
62.955348466939036,-211.11925247610222
64.26556711297317,-215.94192643428602
65.57350430589729,-220.76557968423782
66.87950037130213,-225.5909052675825
68.1837986535304,-230.4184239784238
69.48373499301383,-235.24941467160875
70.77954101035432,-240.0843645535372
72.07139042343616,-244.9235522140392
73.35471428248611,-249.75983263315638
74.63735120286698,-254.570120337592
75.94367745651043,-259.33266961219755
77.30220123016969,-264.0355977466165
78.46053007831979,-268.7595987678958
79.63585968849742,-273.45270733086926
80.94766239858862,-278.07398920149245
82.85418291323944,-282.3640137062167
